"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"
210.205	81.8115	210.205	79.9193	210.205	81.2623	210.205	80.5851	210.205	79.8688	210.205	80.7934
217.529	81.7874	217.529	79.8415	217.529	81.227	217.529	80.4947	217.529	79.8142	217.529	80.7338
225.586	81.9146	225.586	79.9585	225.586	81.3867	225.586	80.5774	225.586	79.7863	225.586	80.8395
232.91	82.1	232.91	80.0264	232.91	81.5496	232.91	80.6686	232.91	79.7284	232.91	80.9513
241.699	82.1769	241.699	80.0697	241.699	81.5856	241.699	80.7153	241.699	79.5734	241.699	80.9818
249.756	82.2793	249.756	79.9946	249.756	81.6633	249.756	80.7707	249.756	79.5893	249.756	81.036
258.545	82.3453	258.545	80.1457	258.545	81.7498	258.545	80.8766	258.545	79.7192	258.545	81.1359
268.066	82.2083	268.066	79.8002	268.066	81.5382	268.066	80.6623	268.066	79.454	268.066	80.9182
277.588	82.2221	277.588	80.1119	277.588	81.7209	277.588	80.7419	277.588	79.6907	277.588	81.0542
287.109	82.2603	287.109	80.3516	287.109	81.8422	287.109	80.8717	287.109	79.6645	287.109	81.165
297.363	82.2674	297.363	80.1998	297.363	81.7264	297.363	80.7147	297.363	79.4619	297.363	81.0425
307.617	82.3438	307.617	79.9479	307.617	81.7044	307.617	80.6524	307.617	79.4306	307.617	80.9994
318.604	82.3213	318.604	80.0359	318.604	81.7632	318.604	80.6435	318.604	79.1529	318.604	80.9979
329.59	82.2152	329.59	79.8904	329.59	81.6082	329.59	80.5823	329.59	79.0643	329.59	80.8898
341.309	81.9136	341.309	79.5527	341.309	81.307	341.309	80.2666	341.309	78.8387	341.309	80.5858
353.76	82.0056	353.76	79.6278	353.76	81.4604	353.76	80.3648	353.76	78.8002	353.76	80.6882
366.211	82.2368	366.211	79.6897	366.211	81.6773	366.211	80.4389	366.211	78.8029	366.211	80.8271
378.662	82.4683	378.662	79.9383	378.662	81.8196	378.662	80.7122	378.662	78.9083	378.662	81.037
392.578	81.983	392.578	79.7097	392.578	81.3295	392.578	80.45	392.578	78.6279	392.578	80.6687
405.762	81.866	405.762	79.4405	405.762	81.1933	405.762	80.137	405.762	78.466	405.762	80.4576
