"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  /  [	0.2	V at 	1	m]"
731.689	78.5173	731.689	78.2762	731.689	77.574	731.689	77.016	731.689	42.2245	731.689	41.6664	731.689	40.9643
758.057	74.9691	758.057	74.5862	758.057	73.2574	758.057	73.5199	758.057	42.0306	758.057	42.2931	758.057	40.9643
784.424	79.8133	784.424	79.4484	784.424	77.5967	784.424	75.6675	784.424	44.7451	784.424	42.8159	784.424	40.9643
812.256	80.7227	812.256	80.3611	812.256	78.4784	812.256	76.4505	812.256	44.8749	812.256	42.8469	812.256	40.9643
840.82	81.7124	840.82	81.3115	840.82	79.2116	840.82	76.9181	840.82	45.3577	840.82	43.0642	840.82	40.9643
870.85	82.3982	870.85	82.0356	870.85	79.8108	870.85	77.221	870.85	45.7789	870.85	43.1891	870.85	40.9643
901.611	82.7883	901.611	82.446	901.611	80.3326	901.611	77.5627	901.611	45.8476	901.611	43.0777	901.611	40.9643
933.105	83.4058	933.105	83.0674	933.105	80.8595	933.105	77.9263	933.105	46.1054	933.105	43.1721	933.105	40.9643
966.064	83.8977	966.064	83.5923	966.064	81.3741	966.064	78.2832	966.064	46.2734	966.064	43.1825	966.064	40.9643
999.756	83.4772	999.756	83.2696	999.756	81.2053	999.756	78.2787	999.756	45.9552	999.756	43.0286	999.756	40.9643
1,034.91	83.0917	1,034.91	82.8914	1,034.91	81.1809	1,034.91	78.2709	1,034.91	45.5848	1,034.91	42.6748	1,034.91	40.9643
1,071.53	83.0308	1,071.53	82.6755	1,071.53	80.9316	1,071.53	78.004	1,071.53	45.6358	1,071.53	42.7082	1,071.53	40.9643
1,109.62	83.2351	1,109.62	82.845	1,109.62	80.8981	1,109.62	77.917	1,109.62	45.8923	1,109.62	42.9112	1,109.62	40.9643
1,148.44	82.905	1,148.44	82.4851	1,148.44	80.4006	1,148.44	77.3539	1,148.44	46.0955	1,148.44	43.0488	1,148.44	40.9643
1,189.45	82.8976	1,189.45	82.4275	1,189.45	80.2929	1,189.45	77.2972	1,189.45	46.0946	1,189.45	43.0989	1,189.45	40.9643
1,231.2	83.1513	1,231.2	82.6623	1,231.2	80.3242	1,231.2	77.3238	1,231.2	46.3028	1,231.2	43.3024	1,231.2	40.9643
1,274.41	84.5519	1,274.41	84.0354	1,274.41	81.4042	1,274.41	78.0607	1,274.41	46.9389	1,274.41	43.5955	1,274.41	40.9643
1,319.82	84.2221	1,319.82	83.824	1,319.82	81.4405	1,319.82	78.0556	1,319.82	46.7327	1,319.82	43.3478	1,319.82	40.9643
1,365.97	84.2616	1,365.97	83.8098	1,365.97	81.4401	1,365.97	78.0132	1,365.97	46.7608	1,365.97	43.3339	1,365.97	40.9643
1,414.31	83.8398	1,414.31	83.3133	1,414.31	80.7983	1,414.31	77.3416	1,414.31	46.936	1,414.31	43.4793	1,414.31	40.9643
1,464.11	83.148	1,464.11	82.6652	1,464.11	80.1925	1,464.11	76.7119	1,464.11	46.9176	1,464.11	43.437	1,464.11	40.9643
1,515.38	82.5973	1,515.38	82.104	1,515.38	79.6773	1,515.38	76.0478	1,515.38	47.0204	1,515.38	43.3909	1,515.38	40.9643
1,568.85	81.8183	1,568.85	81.3137	1,568.85	79.0056	1,568.85	75.5153	1,568.85	46.7627	1,568.85	43.2723	1,568.85	40.9643
1,624.51	80.661	1,624.51	80.1922	1,624.51	78.13	1,624.51	74.9051	1,624.51	46.2514	1,624.51	43.0265	1,624.51	40.9643
