"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.2	V at 	1	m]"
6,276.86	81.9399	6,276.86	77.1548	6,276.86	63.7515	6,276.86	76.6345
6,498.05	81.9477	6,498.05	77.44	6,498.05	63.8657	6,498.05	76.7339
6,727.29	82.0426	6,727.29	77.6722	6,727.29	64.3791	6,727.29	76.886
6,964.6	82.0531	6,964.6	77.883	6,964.6	64.9836	6,964.6	76.9827
7,209.96	81.7943	7,209.96	77.8292	7,209.96	64.7041	7,209.96	76.7944
7,464.11	81.3772	7,464.11	77.3657	7,464.11	64.3306	7,464.11	76.3624
7,727.78	80.8565	7,727.78	76.9892	7,727.78	63.546	7,727.78	75.8844
8,000.24	80.8591	8,000.24	76.799	8,000.24	62.7569	8,000.24	75.7962
8,282.23	80.9424	8,282.23	76.7722	8,282.23	62.3706	8,282.23	75.8295
8,574.46	80.7232	8,574.46	77.211	8,574.46	62.6268	8,574.46	75.8601
8,876.22	80.5791	8,876.22	77.0428	8,876.22	62.2061	8,876.22	75.7002
9,189.7	79.6894	9,189.7	76.0622	9,189.7	61.3347	9,189.7	74.7767
9,513.43	78.7924	9,513.43	75.0021	9,513.43	60.2612	9,513.43	73.8153
9,848.88	78.2385	9,848.88	74.2228	9,848.88	59.1165	9,848.88	73.1674
10,196.8	77.9499	10,196.8	74.1202	10,196.8	58.2734	10,196.8	72.9349
10,556.4	79.075	10,556.4	75.3689	10,556.4	59.413	10,556.4	74.1058
10,928.5	80.1602	10,928.5	76.3093	10,928.5	60.383	10,928.5	75.1357
11,313.7	80.1382	11,313.7	76.3614	11,313.7	60.8099	11,313.7	75.1491
11,712.9	80.1971	11,712.9	76.4273	11,712.9	60.7914	11,712.9	75.2091
12,126	80.331	12,126	76.4562	12,126	60.8059	12,126	75.3024
12,553.7	80.3631	12,553.7	76.5616	12,553.7	60.7261	12,553.7	75.3592
12,996.1	79.9309	12,996.1	76.2506	12,996.1	60.1984	12,996.1	74.9701
13,454.6	79.2907	13,454.6	75.6299	13,454.6	59.5151	13,454.6	74.3364
13,928.5	79.799	13,928.5	75.5797	13,928.5	59.0824	13,928.5	74.6286
14,419.9	78.4109	14,419.9	74.0133	14,419.9	57.035	14,419.9	73.1705
14,928.2	78.1217	14,928.2	73.3655	14,928.2	56.1683	14,928.2	72.7565
15,454.8	77.1882	15,454.8	72.1425	15,454.8	54.2307	15,454.8	71.722
15,999.8	77.1491	15,999.8	72.1583	15,999.8	54.0691	15,999.8	71.6986
16,564.5	79.8227	16,564.5	74.4019	16,564.5	56.2119	16,564.5	74.2392
17,148.2	80.9132	17,148.2	75.118	17,148.2	56.3852	17,148.2	75.2179
17,753.2	81.0888	17,753.2	74.6769	17,753.2	54.8691	17,753.2	75.2245
18,379.4	79.5408	18,379.4	72.7974	18,379.4	52.5389	18,379.4	73.5942
19,027.6	77.0447	19,027.6	70.1417	19,027.6	50.908	19,027.6	71.0657
19,698.5	75.485	19,698.5	69.3424	19,698.5	49.9203	19,698.5	69.6917
19,999.5	73.9536	19,999.5	68.512	19,999.5	49.081	19,999.5	68.355
