"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,414.31	87.5517	1,414.31	86.9013	1,414.31	84.2886	1,414.31	80.8627	1,414.31	46.0179	1,414.31	42.5921	1,414.31	39.9794
1,464.11	87.7401	1,464.11	86.99	1,464.11	84.2514	1,464.11	80.6677	1,464.11	46.3017	1,464.11	42.718	1,464.11	39.9794
1,515.38	87.4099	1,515.38	86.5438	1,515.38	84.0128	1,515.38	80.3143	1,515.38	46.2089	1,515.38	42.5104	1,515.38	39.9794
1,568.85	86.8152	1,568.85	85.907	1,568.85	83.5176	1,568.85	79.852	1,568.85	46.0345	1,568.85	42.3689	1,568.85	39.9794
1,624.51	86.4846	1,624.51	85.5697	1,624.51	83.1011	1,624.51	79.5558	1,624.51	45.9933	1,624.51	42.448	1,624.51	39.9794
1,681.64	86.3711	1,681.64	85.3533	1,681.64	82.9223	1,681.64	79.3738	1,681.64	45.9589	1,681.64	42.4104	1,681.64	39.9794
1,740.97	86.1848	1,740.97	85.3259	1,740.97	83.038	1,740.97	79.3758	1,740.97	45.9296	1,740.97	42.2674	1,740.97	39.9794
1,802.49	86.8361	1,802.49	85.9092	1,802.49	83.1976	1,802.49	79.2244	1,802.49	46.6642	1,802.49	42.691	1,802.49	39.9794
1,866.21	85.7942	1,866.21	85.0716	1,866.21	82.6087	1,866.21	78.783	1,866.21	46.2681	1,866.21	42.4423	1,866.21	39.9794
1,932.13	85.2636	1,932.13	84.5589	1,932.13	81.853	1,932.13	78.0623	1,932.13	46.476	1,932.13	42.6852	1,932.13	39.9794
2,000.24	85.5914	2,000.24	84.6797	2,000.24	81.7155	2,000.24	77.8053	2,000.24	46.8538	2,000.24	42.9436	2,000.24	39.9794
2,070.56	86.2736	2,070.56	85.4974	2,070.56	82.1719	2,070.56	77.8152	2,070.56	47.6616	2,070.56	43.305	2,070.56	39.9794
2,143.8	86.2312	2,143.8	85.4444	2,143.8	81.7601	2,143.8	77.2762	2,143.8	48.1477	2,143.8	43.6637	2,143.8	39.9794
2,219.24	85.8749	2,219.24	84.9778	2,219.24	81.2129	2,219.24	76.6573	2,219.24	48.2999	2,219.24	43.7443	2,219.24	39.9794
