"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
1,189.45	86.3448	1,189.45	81.3875	1,189.45	72.645	1,189.45	81.1973
1,231.2	86.8079	1,231.2	81.9089	1,231.2	72.2455	1,231.2	81.6196
1,274.41	86.95	1,274.41	81.9632	1,274.41	72.0483	1,274.41	81.7158
1,319.82	87.1166	1,319.82	82.1214	1,319.82	71.9345	1,319.82	81.8644
1,365.97	86.9181	1,365.97	81.0223	1,365.97	71.935	1,365.97	81.4308
1,414.31	86.7114	1,414.31	80.722	1,414.31	71.013	1,414.31	81.1612
1,464.11	86.8178	1,464.11	81.0163	1,464.11	70.2355	1,464.11	81.275
1,515.38	86.3452	1,515.38	81.1099	1,515.38	71.0583	1,515.38	81.018
1,568.85	85.7143	1,568.85	80.5343	1,568.85	70.6572	1,568.85	80.4154
1,624.51	85.3095	1,624.51	80.1094	1,624.51	70.0349	1,624.51	79.993
1,681.64	85.0359	1,681.64	79.8468	1,681.64	70.4432	1,681.64	79.7616
1,740.97	85.1632	1,740.97	79.9597	1,740.97	69.6053	1,740.97	79.831
1,802.49	85.855	1,802.49	80.0615	1,802.49	68.3756	1,802.49	80.2805
1,866.21	84.8819	1,866.21	79.4192	1,866.21	67.3715	1,866.21	79.3962
1,932.13	84.2985	1,932.13	78.2125	1,932.13	66.0415	1,932.13	78.624
2,000.24	84.5195	2,000.24	77.697	2,000.24	64.0182	2,000.24	78.6169
2,070.56	85.3518	2,070.56	78.0603	2,070.56	62.7168	2,070.56	79.3164
2,143.8	85.1582	2,143.8	77.2176	2,143.8	60.9851	2,143.8	78.9801
2,219.24	84.6735	2,219.24	76.163	2,219.24	59.4146	2,219.24	78.3871
2,297.61	85.8585	2,297.61	76.1898	2,297.61	57.5828	2,297.61	79.3844
2,378.17	87.2912	2,378.17	76.9336	2,378.17	60.219	2,378.17	80.7363
2,462.4	87.1222	2,462.4	77.2836	2,462.4	62.32	2,462.4	80.6444
2,548.83	86.6886	2,548.83	77.4017	2,548.83	63.0304	2,548.83	80.2955
2,638.92	86.2972	2,638.92	77.8193	2,638.92	63.4298	2,638.92	80.0375
2,731.93	85.658	2,731.93	78.2114	2,731.93	63.2961	2,731.93	79.594
2,828.61	85.307	2,828.61	78.9463	2,828.61	64.7493	2,828.61	79.5115
2,928.22	84.6733	2,928.22	79.4108	2,928.22	66.1819	2,928.22	79.2157
3,031.49	83.4874	3,031.49	79.2768	3,031.49	66.6651	3,031.49	78.4117
3,138.43	83.6836	3,138.43	79.5879	3,138.43	67.3283	3,138.43	78.6645
3,249.02	83.9346	3,249.02	79.6974	3,249.02	68.0495	3,249.02	78.8868
3,363.28	84.1068	3,363.28	79.5173	3,363.28	68.641	3,363.28	78.9638
3,481.93	84.2454	3,481.93	80.0779	3,481.93	68.7089	3,481.93	79.2367
3,604.98	84.5156	3,604.98	80.8381	3,604.98	69.6693	3,604.98	79.7118
3,732.42	83.7862	3,732.42	80.9787	3,732.42	69.6913	3,732.42	79.3556
3,863.53	83.8176	3,863.53	81.1311	3,863.53	68.9126	3,863.53	79.3944
3,999.76	83.7766	3,999.76	81.1806	3,999.76	68.6648	3,999.76	79.3817
4,141.11	83.7778	4,141.11	80.8733	4,141.11	67.6793	4,141.11	79.215
4,286.87	84.2727	4,286.87	81.3639	4,286.87	69.1135	4,286.87	79.7469
4,438.48	84.385	4,438.48	81.6171	4,438.48	68.4249	4,438.48	79.8835
4,594.48	84.3719	4,594.48	81.5372	4,594.48	69.5138	4,594.48	79.8902
4,757.08	84.3313	4,757.08	81.8652	4,757.08	68.8639	4,757.08	79.9763
