"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
554.443	85.6656	554.443	82.4936	554.443	86.1707	554.443	83.853	554.443	80.9801	554.443	84.5079
574.219	86.1778	574.219	82.811	574.219	86.7715	574.219	84.165	574.219	81.8236	574.219	84.9945
594.727	85.9171	594.727	83.1872	594.727	86.5777	594.727	83.6124	594.727	81.5069	594.727	84.7162
615.234	85.261	615.234	83.1832	615.234	86.5953	615.234	83.7024	615.234	79.727	615.234	84.5749
637.207	86.717	637.207	83.1636	637.207	87.4773	637.207	83.9771	637.207	81.9902	637.207	85.3535
659.912	85.4828	659.912	83.9814	659.912	87.1666	659.912	83.9901	659.912	79.7385	659.912	85.012
683.35	85.5461	683.35	84.7335	683.35	87.3952	683.35	84.0591	683.35	80.6801	683.35	85.2493
706.787	86.408	706.787	85.1024	706.787	87.9524	706.787	84.1761	706.787	80.8546	706.787	85.6879
731.689	85.8479	731.689	85.3304	731.689	87.7226	731.689	84.1764	731.689	79.2074	731.689	85.4817
758.057	85.7555	758.057	85.4476	758.057	87.3627	758.057	83.6197	758.057	78.8971	758.057	85.159
784.424	85.8002	784.424	85.4717	784.424	87.4531	784.424	83.8074	784.424	78.3993	784.424	85.2468
812.256	86.2647	812.256	85.2148	812.256	87.5182	812.256	83.7268	812.256	78.376	812.256	85.2873
840.82	86.1618	840.82	85.415	840.82	87.3404	840.82	83.4315	840.82	77.5906	840.82	85.1208
870.85	86.1358	870.85	85.1572	870.85	87.0757	870.85	83.2524	870.85	77.7249	870.85	84.9234
901.611	86.3476	901.611	85.1089	901.611	87.6894	901.611	83.6511	901.611	76.0662	901.611	85.3038
933.105	86.542	933.105	84.4044	933.105	87.6337	933.105	83.5217	933.105	77.1497	933.105	85.218
966.064	87.0199	966.064	84.0857	966.064	87.5971	966.064	83.4119	966.064	76.0533	966.064	85.2049
999.756	87.0418	999.756	84.8738	999.756	87.5763	999.756	82.7445	999.756	77.0963	999.756	85.1346
1,034.91	86.9921	1,034.91	84.9694	1,034.91	87.3472	1,034.91	82.365	1,034.91	75.9397	1,034.91	84.927
1,071.53	87.3455	1,071.53	84.7999	1,071.53	86.5228	1,071.53	82.0071	1,071.53	76.6374	1,071.53	84.5444
1,109.62	86.667	1,109.62	84.3464	1,109.62	86.0283	1,109.62	81.0162	1,109.62	75.8214	1,109.62	83.9066
1,148.44	87.0392	1,148.44	83.8421	1,148.44	86.0607	1,148.44	81.3767	1,148.44	75.0851	1,148.44	84.0058
1,189.45	87.0424	1,189.45	83.2213	1,189.45	86.3448	1,189.45	81.3875	1,189.45	75.3206	1,189.45	84.0744
1,231.2	87.0652	1,231.2	83.7778	1,231.2	86.8079	1,231.2	81.9089	1,231.2	74.7292	1,231.2	84.4476
1,274.41	87.2154	1,274.41	83.354	1,274.41	86.95	1,274.41	81.9632	1,274.41	75.0195	1,274.41	84.5217
1,319.82	87.5703	1,319.82	84.2555	1,319.82	87.1166	1,319.82	82.1214	1,319.82	74.8893	1,319.82	84.7934
1,365.97	87.6575	1,365.97	84.2915	1,365.97	86.9181	1,365.97	81.0223	1,365.97	74.1973	1,365.97	84.5085
1,414.31	87.6692	1,414.31	83.5871	1,414.31	86.7114	1,414.31	80.722	1,414.31	74.0786	1,414.31	84.2886
1,464.11	87.0661	1,464.11	83.6352	1,464.11	86.8178	1,464.11	81.0163	1,464.11	73.8499	1,464.11	84.2514
1,515.38	86.5325	1,515.38	84.4231	1,515.38	86.3452	1,515.38	81.1099	1,515.38	73.0734	1,515.38	84.0128
1,568.85	86.3339	1,568.85	83.949	1,568.85	85.7143	1,568.85	80.5343	1,568.85	73.6454	1,568.85	83.5176
1,624.51	86.0818	1,624.51	83.2695	1,624.51	85.3095	1,624.51	80.1094	1,624.51	72.4989	1,624.51	83.1011
