"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
594.727	105.893	594.727	105.749	594.727	104.574	594.727	102.574	594.727	63.1548	594.727	61.1547	594.727	59.9794
615.234	106.014	615.234	105.895	615.234	104.822	615.234	102.711	615.234	63.1633	615.234	61.0527	615.234	59.9794
637.207	106.207	637.207	106.086	637.207	105.044	637.207	102.898	637.207	63.1674	637.207	61.0213	637.207	59.9794
659.912	106.039	659.912	105.929	659.912	104.987	659.912	102.936	659.912	62.9728	659.912	60.9215	659.912	59.9794
683.35	106.121	683.35	106.021	683.35	105.071	683.35	103.012	683.35	62.989	683.35	60.9298	683.35	59.9794
706.787	105.411	706.787	105.329	706.787	104.646	706.787	102.682	706.787	62.627	706.787	60.6633	706.787	59.9794
731.689	105.408	731.689	105.254	731.689	104.398	731.689	102.349	731.689	62.8851	731.689	60.8356	731.689	59.9794
758.057	105.938	758.057	105.748	758.057	104.724	758.057	102.433	758.057	63.2942	758.057	61.003	758.057	59.9794
784.424	105.687	784.424	105.497	784.424	104.432	784.424	102.04	784.424	63.4367	784.424	61.044	784.424	59.9794
812.256	105.315	812.256	105.172	812.256	104.405	812.256	102.154	812.256	62.9975	812.256	60.7455	812.256	59.9794
840.82	104.971	840.82	104.769	840.82	104.045	840.82	102.054	840.82	62.6951	840.82	60.7037	840.82	59.9794
870.85	105.357	870.85	105.05	870.85	104.077	870.85	102.025	870.85	63.0047	870.85	60.9524	870.85	59.9794
901.611	105.186	901.611	104.873	901.611	103.878	901.611	101.818	901.611	63.0346	901.611	60.9738	901.611	59.9794
933.105	105.849	933.105	105.456	933.105	104.135	933.105	101.892	933.105	63.5434	933.105	61.2997	933.105	59.9794
966.064	105.927	966.064	105.454	966.064	103.778	966.064	101.489	966.064	63.9443	966.064	61.6557	966.064	59.9794
999.756	106.368	999.756	105.961	999.756	103.88	999.756	101.495	999.756	64.4456	999.756	62.0599	999.756	59.9794
1,034.91	105.794	1,034.91	105.524	1,034.91	103.484	1,034.91	101.004	1,034.91	64.4999	1,034.91	62.0198	1,034.91	59.9794
1,071.53	105.425	1,071.53	105.138	1,071.53	103.268	1,071.53	100.797	1,071.53	64.3195	1,071.53	61.8485	1,071.53	59.9794
1,109.62	105.18	1,109.62	104.881	1,109.62	103.011	1,109.62	100.498	1,109.62	64.3619	1,109.62	61.8486	1,109.62	59.9794
1,148.44	105.365	1,148.44	105.02	1,148.44	103.201	1,148.44	100.546	1,148.44	64.4529	1,148.44	61.7981	1,148.44	59.9794
1,189.45	105.563	1,189.45	105.184	1,189.45	103.171	1,189.45	100.379	1,189.45	64.7841	1,189.45	61.9916	1,189.45	59.9794
1,231.2	105.793	1,231.2	105.374	1,231.2	103.204	1,231.2	100.358	1,231.2	64.9951	1,231.2	62.1497	1,231.2	59.9794
1,274.41	105.141	1,274.41	104.884	1,274.41	102.863	1,274.41	100.172	1,274.41	64.6916	1,274.41	62.0006	1,274.41	59.9794
1,319.82	105.208	1,319.82	104.888	1,319.82	102.82	1,319.82	100.215	1,319.82	64.6519	1,319.82	62.0474	1,319.82	59.9794
1,365.97	105.083	1,365.97	104.782	1,365.97	102.71	1,365.97	100.004	1,365.97	64.7578	1,365.97	62.0515	1,365.97	59.9794
1,414.31	104.705	1,414.31	104.392	1,414.31	102.475	1,414.31	99.8554	1,414.31	64.5162	1,414.31	61.8964	1,414.31	59.9794
1,464.11	104.754	1,464.11	104.356	1,464.11	102.339	1,464.11	99.5551	1,464.11	64.7802	1,464.11	61.9962	1,464.11	59.9794
1,515.38	104.88	1,515.38	104.369	1,515.38	102.114	1,515.38	99.0767	1,515.38	65.2722	1,515.38	62.2349	1,515.38	59.9794
1,568.85	104.83	1,568.85	104.483	1,568.85	102.17	1,568.85	98.754	1,568.85	65.7087	1,568.85	62.293	1,568.85	59.9794
1,624.51	104.466	1,624.51	104.144	1,624.51	101.581	1,624.51	97.9702	1,624.51	66.1529	1,624.51	62.5426	1,624.51	59.9794
1,681.64	103.599	1,681.64	103.187	1,681.64	100.861	1,681.64	97.2489	1,681.64	65.9177	1,681.64	62.3059	1,681.64	59.9794
1,740.97	104.488	1,740.97	103.92	1,740.97	101.274	1,740.97	97.0969	1,740.97	66.8025	1,740.97	62.6254	1,740.97	59.9794
1,802.49	104.5	1,802.49	103.993	1,802.49	101.202	1,802.49	96.95	1,802.49	67.0224	1,802.49	62.7706	1,802.49	59.9794
1,866.21	103.837	1,866.21	103.458	1,866.21	100.802	1,866.21	96.7095	1,866.21	66.728	1,866.21	62.635	1,866.21	59.9794
1,932.13	103.468	1,932.13	103.093	1,932.13	100.478	1,932.13	96.5494	1,932.13	66.5235	1,932.13	62.5945	1,932.13	59.9794
2,000.24	104.883	2,000.24	104.201	2,000.24	101.129	2,000.24	97.142	2,000.24	67.0388	2,000.24	63.052	2,000.24	59.9794
2,070.56	105.662	2,070.56	104.957	2,070.56	101.79	2,070.56	97.8417	2,070.56	67.0948	2,070.56	63.1462	2,070.56	59.9794
2,143.8	105.22	2,143.8	104.594	2,143.8	101.601	2,143.8	97.8469	2,143.8	66.7265	2,143.8	62.9728	2,143.8	59.9794
2,219.24	104.44	2,219.24	103.81	2,219.24	101.023	2,219.24	97.5558	2,219.24	66.2338	2,219.24	62.7664	2,219.24	59.9794
2,297.61	105.632	2,297.61	104.93	2,297.61	101.906	2,297.61	98.1127	2,297.61	66.7963	2,297.61	63.0026	2,297.61	59.9794
2,378.17	106.564	2,378.17	105.879	2,378.17	102.661	2,378.17	98.7915	2,378.17	67.0668	2,378.17	63.1969	2,378.17	59.9794
2,462.4	106.346	2,462.4	105.581	2,462.4	102.4	2,462.4	98.5514	2,462.4	67.0091	2,462.4	63.1604	2,462.4	59.9794
2,548.83	106.444	2,548.83	105.561	2,548.83	102.373	2,548.83	98.5872	2,548.83	66.9527	2,548.83	63.1671	2,548.83	59.9794
2,638.92	106.685	2,638.92	105.805	2,638.92	102.618	2,638.92	98.7155	2,638.92	67.069	2,638.92	63.1666	2,638.92	59.9794
2,731.93	105.978	2,731.93	105.328	2,731.93	102.236	2,731.93	98.4266	2,731.93	66.8804	2,731.93	63.0712	2,731.93	59.9794
2,828.61	106.033	2,828.61	105.352	2,828.61	102.344	2,828.61	98.4174	2,828.61	66.9136	2,828.61	62.9873	2,828.61	59.9794
2,928.22	106.038	2,928.22	105.192	2,928.22	102.159	2,928.22	98.2017	2,928.22	66.97	2,928.22	63.0128	2,928.22	59.9794
3,031.49	105.451	3,031.49	104.758	3,031.49	101.704	3,031.49	97.7815	3,031.49	66.9559	3,031.49	63.0334	3,031.49	59.9794
3,138.43	105.64	3,138.43	105.108	3,138.43	101.928	3,138.43	97.8215	3,138.43	67.2663	3,138.43	63.1604	3,138.43	59.9794
3,249.02	106.189	3,249.02	105.357	3,249.02	102.106	3,249.02	97.9531	3,249.02	67.3831	3,249.02	63.2301	3,249.02	59.9794
3,363.28	105.828	3,363.28	105.054	3,363.28	101.824	3,363.28	97.884	3,363.28	67.1498	3,363.28	63.2099	3,363.28	59.9794
3,481.93	106.071	3,481.93	105.091	3,481.93	101.848	3,481.93	97.8384	3,481.93	67.2324	3,481.93	63.2232	3,481.93	59.9794
3,604.98	105.791	3,604.98	104.969	3,604.98	101.695	3,604.98	97.7312	3,604.98	67.2168	3,604.98	63.2528	3,604.98	59.9794
3,732.42	105.272	3,732.42	104.507	3,732.42	101.384	3,732.42	97.4421	3,732.42	67.0441	3,732.42	63.1022	3,732.42	59.9794
3,863.53	104.908	3,863.53	104.33	3,863.53	101.113	3,863.53	97.1231	3,863.53	67.1862	3,863.53	63.1958	3,863.53	59.9794
3,999.76	105.105	3,999.76	104.559	3,999.76	101.279	3,999.76	97.1696	3,999.76	67.3693	3,999.76	63.2601	3,999.76	59.9794
4,141.11	104.839	4,141.11	104.347	4,141.11	101.157	4,141.11	97.0659	4,141.11	67.2606	4,141.11	63.169	4,141.11	59.9794
4,286.87	105.787	4,286.87	105.2	4,286.87	101.995	4,286.87	97.7021	4,286.87	67.4775	4,286.87	63.1848	4,286.87	59.9794
4,438.48	105.921	4,438.48	105.412	4,438.48	102.154	4,438.48	97.8504	4,438.48	67.5406	4,438.48	63.2368	4,438.48	59.9794
4,594.48	106.92	4,594.48	106.128	4,594.48	102.632	4,594.48	98.0119	4,594.48	68.0956	4,594.48	63.4756	4,594.48	59.9794
4,757.08	107.093	4,757.08	106.267	4,757.08	102.689	4,757.08	97.911	4,757.08	68.3356	4,757.08	63.5575	4,757.08	59.9794
4,924.8	107.118	4,924.8	106.253	4,924.8	102.606	4,924.8	97.7458	4,924.8	68.4865	4,924.8	63.6267	4,924.8	59.9794
5,098.39	107.205	5,098.39	106.221	5,098.39	102.448	5,098.39	97.5002	5,098.39	68.6999	5,098.39	63.7518	5,098.39	59.9794
5,277.83	106.12	5,277.83	105.464	5,277.83	101.732	5,277.83	96.9212	5,277.83	68.5219	5,277.83	63.7106	5,277.83	59.9794
5,463.87	106.134	5,463.87	105.295	5,463.87	101.569	5,463.87	96.664	5,463.87	68.6104	5,463.87	63.7049	5,463.87	59.9794
5,656.49	105.499	5,656.49	104.506	5,656.49	100.907	5,656.49	96.0643	5,656.49	68.4207	5,656.49	63.5779	5,656.49	59.9794
5,856.45	104.987	5,856.45	104.088	5,856.45	100.538	5,856.45	95.7093	5,856.45	68.3582	5,856.45	63.5296	5,856.45	59.9794
6,062.99	105.404	6,062.99	104.475	6,062.99	100.837	6,062.99	95.933	6,062.99	68.5219	6,062.99	63.6175	6,062.99	59.9794
6,276.86	106.161	6,276.86	105.158	6,276.86	101.433	6,276.86	96.4167	6,276.86	68.7209	6,276.86	63.7042	6,276.86	59.9794
6,498.05	106.09	6,498.05	105.077	6,498.05	101.367	6,498.05	96.4636	6,498.05	68.5933	6,498.05	63.6901	6,498.05	59.9794
6,727.29	106.471	6,727.29	105.532	6,727.29	101.742	6,727.29	96.71	6,727.29	68.8011	6,727.29	63.7692	6,727.29	59.9794
6,964.6	106.555	6,964.6	105.807	6,964.6	101.943	6,964.6	96.8452	6,964.6	68.9417	6,964.6	63.8436	6,964.6	59.9794
7,209.96	106.77	7,209.96	105.513	7,209.96	101.688	7,209.96	96.5708	7,209.96	68.9217	7,209.96	63.805	7,209.96	59.9794
7,464.11	105.731	7,464.11	104.752	7,464.11	101.077	7,464.11	96.1037	7,464.11	68.6277	7,464.11	63.6542	7,464.11	59.9794
7,727.78	104.775	7,727.78	103.903	7,727.78	100.291	7,727.78	95.483	7,727.78	68.3994	7,727.78	63.5913	7,727.78	59.9794
8,000.24	104.487	8,000.24	103.789	8,000.24	100.047	8,000.24	95.291	8,000.24	68.4777	8,000.24	63.7213	8,000.24	59.9794
8,282.23	105.897	8,282.23	105.087	8,282.23	101.178	8,282.23	96.2183	8,282.23	68.8482	8,282.23	63.8889	8,282.23	59.9794
8,574.46	107.051	8,574.46	106.247	8,574.46	102.215	8,574.46	97.0788	8,574.46	69.1476	8,574.46	64.0115	8,574.46	59.9794
8,876.22	107.007	8,876.22	106.333	8,876.22	102.298	8,876.22	97.1372	8,876.22	69.1755	8,876.22	64.0148	8,876.22	59.9794
9,189.7	106.324	9,189.7	105.639	9,189.7	101.616	9,189.7	96.4998	9,189.7	69.1186	9,189.7	64.0027	9,189.7	59.9794
9,513.43	105.232	9,513.43	104.707	9,513.43	100.696	9,513.43	95.642	9,513.43	69.0443	9,513.43	63.9902	9,513.43	59.9794
9,848.88	105.562	9,848.88	104.757	9,848.88	100.536	9,848.88	95.4561	9,848.88	69.28	9,848.88	64.2004	9,848.88	59.9794
10,196.8	106.561	10,196.8	105.646	10,196.8	101.24	10,196.8	96.0116	10,196.8	69.6135	10,196.8	64.3855	10,196.8	59.9794
10,556.4	107.355	10,556.4	106.277	10,556.4	101.813	10,556.4	96.3681	10,556.4	69.8887	10,556.4	64.4443	10,556.4	59.9794
10,928.5	107.69	10,928.5	106.447	10,928.5	101.957	10,928.5	96.3118	10,928.5	70.1145	10,928.5	64.4694	10,928.5	59.9794
11,313.7	107.451	11,313.7	106.033	11,313.7	101.49	11,313.7	95.9066	11,313.7	70.1055	11,313.7	64.5218	11,313.7	59.9794
