"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
500.244	105.677	500.244	103.091	500.244	105.57	500.244	103.894	500.244	101.753	500.244	104.39
517.822	104.918	517.822	103.056	517.822	105.135	517.822	103.913	517.822	101.747	517.822	104.131
536.133	104.848	536.133	103.333	536.133	105.173	536.133	103.782	536.133	101.607	536.133	104.104
554.443	105.334	554.443	103.703	554.443	105.306	554.443	104.154	554.443	101.961	554.443	104.41
574.219	105.422	574.219	103.306	574.219	104.985	574.219	103.588	574.219	101.838	574.219	104.069
594.727	105.661	594.727	103.493	594.727	105.728	594.727	104.181	594.727	101.678	594.727	104.574
615.234	105.808	615.234	103.678	615.234	105.88	615.234	104.562	615.234	102.039	615.234	104.822
637.207	105.975	637.207	104.097	637.207	106.068	637.207	104.783	637.207	102.29	637.207	105.044
659.912	105.924	659.912	104.129	659.912	105.912	659.912	104.78	659.912	102.306	659.912	104.987
683.35	106.054	683.35	103.658	683.35	106.011	683.35	104.937	683.35	102.561	683.35	105.071
706.787	105.244	706.787	103.316	706.787	105.325	706.787	104.708	706.787	102.926	706.787	104.646
731.689	105.154	731.689	103.097	731.689	105.232	731.689	104.285	731.689	102.597	731.689	104.398
758.057	105.65	758.057	103.378	758.057	105.714	758.057	104.48	758.057	102.603	758.057	104.724
784.424	105.285	784.424	103.587	784.424	105.46	784.424	104.14	784.424	101.864	784.424	104.432
812.256	105.211	812.256	103.984	812.256	105.139	812.256	104.243	812.256	102.049	812.256	104.405
840.82	104.917	840.82	103.855	840.82	104.723	840.82	103.767	840.82	102.059	840.82	104.045
870.85	105.068	870.85	102.92	870.85	104.99	870.85	103.698	870.85	102.595	870.85	104.077
901.611	104.809	901.611	102.782	901.611	104.808	901.611	103.479	901.611	102.453	901.611	103.878
933.105	105.354	933.105	102.277	933.105	105.381	933.105	103.45	933.105	102.804	933.105	104.135
966.064	105.325	966.064	101.685	966.064	105.363	966.064	102.629	966.064	102.242	966.064	103.778
999.756	105.456	999.756	101.707	999.756	105.89	999.756	102.414	999.756	101.19	999.756	103.88
1,034.91	104.402	1,034.91	101.458	1,034.91	105.491	1,034.91	102.55	1,034.91	99.6195	1,034.91	103.484
1,071.53	104.282	1,071.53	102.502	1,071.53	105.074	1,071.53	102.273	1,071.53	99.0527	1,071.53	103.268
1,109.62	103.959	1,109.62	102.86	1,109.62	104.812	1,109.62	101.866	1,109.62	98.6329	1,109.62	103.011
1,148.44	104.149	1,148.44	103.236	1,148.44	104.941	1,148.44	102.048	1,148.44	98.9526	1,148.44	103.201
1,189.45	104.138	1,189.45	102.597	1,189.45	105.117	1,189.45	101.953	1,189.45	98.8639	1,189.45	103.171
1,231.2	104.088	1,231.2	102.688	1,231.2	105.303	1,231.2	101.819	1,231.2	98.5917	1,231.2	103.204
1,274.41	103.625	1,274.41	102.471	1,274.41	104.845	1,274.41	101.673	1,274.41	98.2246	1,274.41	102.863
1,319.82	103.703	1,319.82	102.135	1,319.82	104.825	1,319.82	101.651	1,319.82	98.1055	1,319.82	102.82
1,365.97	103.616	1,365.97	101.649	1,365.97	104.713	1,365.97	101.737	1,365.97	97.2798	1,365.97	102.71
1,414.31	103.477	1,414.31	101.532	1,414.31	104.332	1,414.31	101.633	1,414.31	96.9254	1,414.31	102.475
1,464.11	103.486	1,464.11	101.971	1,464.11	104.283	1,464.11	101.168	1,464.11	96.3143	1,464.11	102.339
1,515.38	103.342	1,515.38	100.884	1,515.38	104.322	1,515.38	100.881	1,515.38	95.0785	1,515.38	102.114
1,568.85	104.062	1,568.85	99.6893	1,568.85	104.433	1,568.85	100.765	1,568.85	95.4801	1,568.85	102.17
1,624.51	103.448	1,624.51	96.9445	1,624.51	104.079	1,624.51	100.163	1,624.51	95.2547	1,624.51	101.581
1,681.64	102.984	1,681.64	94.2019	1,681.64	103.137	1,681.64	99.8613	1,681.64	94.5072	1,681.64	100.861
1,740.97	103.367	1,740.97	89.431	1,740.97	103.864	1,740.97	100.095	1,740.97	94.3743	1,740.97	101.274
1,802.49	102.407	1,802.49	86.2348	1,802.49	103.998	1,802.49	100.164	1,802.49	95.1528	1,802.49	101.202
1,866.21	102.412	1,866.21	90.7029	1,866.21	103.447	1,866.21	99.7175	1,866.21	94.5034	1,866.21	100.802
1,932.13	102.659	1,932.13	94.1337	1,932.13	103.031	1,932.13	99.016	1,932.13	93.5443	1,932.13	100.478
2,000.24	101.868	2,000.24	95.9873	2,000.24	104.14	2,000.24	99.5688	2,000.24	93.6921	2,000.24	101.129
2,070.56	101.881	2,070.56	96.8663	2,070.56	104.908	2,070.56	100.271	2,070.56	94.5811	2,070.56	101.79
2,143.8	102.349	2,143.8	97.1155	2,143.8	104.503	2,143.8	100.094	2,143.8	94.9059	2,143.8	101.601
2,219.24	102.859	2,219.24	97.4043	2,219.24	103.683	2,219.24	99.2643	2,219.24	93.5179	2,219.24	101.023
2,297.61	102.483	2,297.61	97.9022	2,297.61	104.952	2,297.61	100.242	2,297.61	93.6608	2,297.61	101.906
2,378.17	102.815	2,378.17	98.9011	2,378.17	105.844	2,378.17	100.884	2,378.17	94.1555	2,378.17	102.661
2,462.4	102.981	2,462.4	99.2472	2,462.4	105.54	2,462.4	100.372	2,462.4	93.9313	2,462.4	102.4
2,548.83	102.824	2,548.83	99.0628	2,548.83	105.601	2,548.83	100.235	2,548.83	94.0186	2,548.83	102.373
2,638.92	102.797	2,638.92	100.293	2,638.92	105.837	2,638.92	100.434	2,638.92	93.6707	2,638.92	102.618
2,731.93	102.883	2,731.93	100.716	2,731.93	105.229	2,731.93	100.073	2,731.93	93.2761	2,731.93	102.236
2,828.61	103.042	2,828.61	101.13	2,828.61	105.265	2,828.61	100.215	2,828.61	93.1943	2,828.61	102.344
2,928.22	103.217	2,928.22	100.836	2,928.22	105.072	2,928.22	99.8834	2,928.22	92.8343	2,928.22	102.159
3,031.49	103.336	3,031.49	100.625	3,031.49	104.513	3,031.49	99.2106	3,031.49	91.6274	3,031.49	101.704
3,138.43	103.712	3,138.43	100.127	3,138.43	104.886	3,138.43	99.2543	3,138.43	91.2519	3,138.43	101.928
3,249.02	104.04	3,249.02	99.0395	3,249.02	105.265	3,249.02	99.189	3,249.02	91.1716	3,249.02	102.106
3,363.28	104.094	3,363.28	98.5246	3,363.28	104.918	3,363.28	98.815	3,363.28	91.2481	3,363.28	101.824
3,481.93	103.917	3,481.93	98.1637	3,481.93	105.037	3,481.93	98.8735	3,481.93	91.1319	3,481.93	101.848
3,604.98	103.72	3,604.98	98.9013	3,604.98	104.803	3,604.98	98.7671	3,604.98	90.5361	3,604.98	101.695
3,732.42	103.538	3,732.42	99.344	3,732.42	104.33	3,732.42	98.524	3,732.42	90.2211	3,732.42	101.384
3,863.53	103.049	3,863.53	99.8249	3,863.53	104.039	3,863.53	98.1778	3,863.53	90.6468	3,863.53	101.113
